user_id,video_id,category,tags,watch_duration,liked,commented,subscribed_after_watching,timestamp
U001,V1001,Technology,"ai,ml,robotics",85,1,0,1,2025-01-12 10:15:23
U002,V1002,Fitness,"yoga,stretching,balance",45,0,0,0,2025-01-12 11:05:10
U003,V1003,Food,"recipe,vegan,pasta",92,1,1,0,2025-01-12 12:44:55
U001,V1004,Travel,"beach,asia,vlog",60,0,0,0,2025-01-13 09:20:18
U004,V1002,Fitness,"yoga,stretching,balance",30,0,0,0,2025-01-13 10:01:49
U005,V1005,Technology,"programming,python,ai",100,1,1,1,2025-01-13 10:30:05
U002,V1006,Entertainment,"funny,comedy,shorts",75,1,0,0,2025-01-14 08:11:37
U006,V1007,Education,"math,algebra,tutorial",20,0,0,0,2025-01-14 09:55:12
U003,V1008,Food,"recipe,indian,curry",88,1,1,0,2025-01-14 12:30:42
U007,V1003,Food,"recipe,vegan,pasta",40,0,0,0,2025-01-14 13:15:30
U008,V1009,Travel,"mountains,hiking,vlog",95,1,1,1,2025-01-15 07:50:11
U009,V1010,Technology,"gadgets,reviews,phones",55,0,0,0,2025-01-15 08:40:33
U010,V1011,Fitness,"cardio,workout,hiit",82,1,0,0,2025-01-15 09:25:47
U005,V1001,Technology,"ai,ml,robotics",67,1,0,0,2025-01-15 11:10:25
U004,V1012,Entertainment,"music,live,concert",90,1,1,0,2025-01-15 12:00:59
